Month,CrudeStocks
1982-08,337451.0
1982-09,335586.0
1982-10,332892.4
1982-11,327852.0
1982-12,334902.6
1983-01,334881.0
1983-02,340684.5
1983-03,338506.25
1983-04,337431.0
1983-05,344124.0
1983-06,333084.5
1983-07,326867.6
1983-08,320849.25
1983-09,328117.6
1983-10,330476.5
1983-11,335185.25
1983-12,328572.8
1984-01,327996.5
1984-02,320243.75
1984-03,312580.2
1984-04,322001.25
1984-05,332976.0
1984-06,337559.0
1984-07,333741.0
1984-08,327397.0
1984-09,313015.5
1984-10,316498.5
1984-11,326497.0
1984-12,324223.25
1985-01,322114.0
1985-02,302363.25
1985-03,306574.2
1985-04,309666.0
1985-05,330702.0
1985-06,328907.25
1985-07,314165.0
1985-08,301633.0
1985-09,292486.5
1985-10,297518.25
1985-11,291002.0
1985-12,298983.0
1986-01,302306.6
1986-02,307235.5
1986-03,316189.0
1986-04,316161.5
1986-05,309225.4
1986-06,304131.0
1986-07,303832.0
1986-08,312703.4
1986-09,309323.5
1986-10,318989.0
1986-11,318610.5
1986-12,315904.5
1987-01,309139.6
1987-02,309023.0
1987-03,309422.0
1987-04,305038.75
1987-05,302680.8
1987-06,302159.0
1987-07,303058.0
1987-08,305510.25
1987-09,313702.75
1987-10,316931.0
1987-11,335606.0
1987-12,338951.5
1988-01,322168.4
1988-02,318612.5
1988-03,326672.0
1988-04,333731.4
1988-05,342637.5
1988-06,342448.5
1988-07,335893.6
1988-08,325005.5
1988-09,307367.2
1988-10,311845.75
1988-11,322501.0
1988-12,318281.2
1989-01,305440.5
1989-02,307620.5
1989-03,314569.8
1989-04,309411.0
1989-05,324703.25
1989-06,320788.8
1989-07,313818.75
1989-08,315134.0
1989-09,314250.8
1989-10,320437.5
1989-11,325064.25
1989-12,326616.6
1990-01,325584.25
1990-02,328151.5
1990-03,334290.0
1990-04,350901.75
1990-05,359099.0
1990-06,367303.4
1990-07,369119.0
1990-08,360770.2
1990-09,350028.5
1990-10,329562.25
1990-11,328568.8
1990-12,319869.5
1991-01,307519.0
1991-02,313742.25
1991-03,319746.0
1991-04,324480.5
1991-05,328694.4
1991-06,336155.0
1991-07,331953.0
1991-08,331372.4
1991-09,322203.0
1991-10,326544.0
1991-11,329284.0
1991-12,320002.5
1992-01,318295.4
1992-02,320194.5
1992-03,329195.75
1992-04,329803.75
1992-05,333260.2
1992-06,324318.5
1992-07,311654.2
1992-08,312180.25
1992-09,309516.25
1992-10,310885.4
1992-11,306462.0
1992-12,308661.25
1993-01,304560.0
1993-02,313545.0
1993-03,321485.75
1993-04,327529.6
1993-05,334326.5
1993-06,332949.5
1993-07,336538.0
1993-08,329255.0
1993-09,319003.5
1993-10,313799.8
1993-11,316589.5
1993-12,326642.8
1994-01,314481.0
1994-02,314289.25
1994-03,317806.75
1994-04,320500.8
1994-05,316308.0
1994-06,309575.5
1994-07,313822.8
1994-08,310189.75
1994-09,311207.6
1994-10,321708.25
1994-11,325264.0
1994-12,318906.0
1995-01,310321.25
